CODE;DATE;BREVETS
AW;1987-01-01;0
AW;1988-01-01;0
AW;1989-01-01;0
AW;1990-01-01;0
AW;1991-01-01;0
AW;1992-01-01;0
AW;1993-01-01;0
AW;1994-01-01;0
AW;1995-01-01;0
AW;1996-01-01;0
AW;1997-01-01;0
AW;1998-01-01;0
AW;1999-01-01;0
AW;2000-01-01;0
AW;2001-01-01;0
AW;2002-01-01;1
AW;2003-01-01;1
AW;2004-01-01;1
AW;2005-01-01;1
AW;2006-01-01;1
AW;2007-01-01;1
AW;2008-01-01;1
AW;2009-01-01;1
AW;2010-01-01;1
AW;2011-01-01;1
AW;2012-01-01;1
AW;2013-01-01;1
AW;2014-01-01;1
AW;2015-01-01;1
AW;2016-01-01;1
AW;2017-01-01;1
AW;2018-01-01;1
R2;1980-01-01;0
R2;1981-01-01;0
R2;1982-01-01;0
R2;1983-01-01;0
R2;1984-01-01;0
R2;1985-01-01;0
R2;1986-01-01;0
R2;1987-01-01;0
R2;1988-01-01;0
R2;1989-01-01;0
R2;1990-01-01;0
R2;1991-01-01;0
R2;1992-01-01;0
R2;1993-01-01;0
R2;1994-01-01;0
R2;1995-01-01;0
R2;1996-01-01;0
R2;1997-01-01;570500
R2;1998-01-01;1158300
R2;1999-01-01;1746800
R2;2000-01-01;2383700
R2;2001-01-01;3058000
R2;2002-01-01;3727100
R2;2003-01-01;4426300
R2;2004-01-01;5192500
R2;2005-01-01;6047100
R2;2006-01-01;6936800
R2;2007-01-01;7869100
R2;2008-01-01;8849100
R2;2009-01-01;9793100
R2;2010-01-01;10821800
R2;2011-01-01;12000600
R2;2012-01-01;13321800
R2;2013-01-01;14811200
R2;2014-01-01;16410400
R2;2015-01-01;18187800
R2;2016-01-01;20200000
R2;2017-01-01;22254500
R2;2018-01-01;24476300
AU;1980-01-01;15936
AU;1981-01-01;32084
AU;1982-01-01;48259
AU;1983-01-01;64718
AU;1984-01-01;82100
AU;1985-01-01;82100
AU;1986-01-01;82100
AU;1987-01-01;82100
AU;1988-01-01;82100
AU;1989-01-01;82100
AU;1990-01-01;82100
AU;1991-01-01;82100
AU;1992-01-01;82100
AU;1993-01-01;82100
AU;1994-01-01;82100
AU;1995-01-01;96161
AU;1996-01-01;111179
AU;1997-01-01;128337
AU;1998-01-01;146262
AU;1999-01-01;166080
AU;2000-01-01;188081
AU;2001-01-01;210816
AU;2002-01-01;233361
AU;2003-01-01;254955
AU;2004-01-01;277788
AU;2005-01-01;301645
AU;2006-01-01;327648
AU;2007-01-01;354488
AU;2008-01-01;380834
AU;2009-01-01;404515
AU;2010-01-01;429402
AU;2011-01-01;454928
AU;2012-01-01;481286
AU;2013-01-01;511003
