Code;Date;Number
BD;1997-01-01;165
BD;1998-01-01;216
BD;1999-01-01;249
BD;2000-01-01;318
BD;2001-01-01;295
BD;2002-01-01;289
BD;2003-01-01;318
BD;2004-01-01;316
BD;2005-01-01;344
BD;2006-01-01;310
BD;2007-01-01;299
BD;2008-01-01;338
BD;2009-01-01;330
BD;2010-01-01;342
BD;2011-01-01;306
BD;2012-01-01;354
BD;2013-01-01;303
BD;2014-01-01;293
BD;2015-01-01;340
BD;2016-01-01;344
BD;2017-01-01;302
BD;2018-01-01;368
BB;1980-01-01;44
BB;1981-01-01;38
BB;1982-01-01;-1
BB;1983-01-01;-1
BB;1984-01-01;38
BB;1985-01-01;-1
BB;1986-01-01;-1
BB;1987-01-01;-1
BB;1988-01-01;-1
BB;1989-01-01;-1
BB;1990-01-01;-1
BB;1991-01-01;-1
BB;1992-01-01;-1
BB;1993-01-01;-1
BB;1994-01-01;-1
BB;1995-01-01;-1
BB;1996-01-01;-1
BB;1997-01-01;-1
BB;1998-01-01;-1
BB;1999-01-01;68
BB;2000-01-01;-1
BB;2001-01-01;85
BB;2002-01-01;93
BB;2003-01-01;123
BB;2004-01-01;80
BB;2005-01-01;76
BB;2006-01-01;44
BB;2007-01-01;112
BB;2008-01-01;85
BB;2009-01-01;79
BB;2010-01-01;88
BB;2011-01-01;71
BB;2012-01-01;36
BB;2013-01-01;42
BB;2014-01-01;39
BB;2015-01-01;45
BB;2016-01-01;41
BB;2017-01-01;-1
BB;2018-01-01;-1
BY;1980-01-01;-1
BY;1981-01-01;-1
BY;1982-01-01;-1
BY;1983-01-01;-1
BY;1984-01-01;-1
BY;1985-01-01;-1
BY;1986-01-01;-1
BY;1987-01-01;-1
BY;1988-01-01;-1
BY;1989-01-01;-1
BY;1990-01-01;-1
BY;1991-01-01;-1
BY;1992-01-01;-1
BY;1993-01-01;1494
BY;1994-01-01;1688
BY;1995-01-01;1039
BY;1996-01-01;1059
BY;1997-01-01;1166
BY;1998-01-01;989
BY;1999-01-01;1338
BY;2000-01-01;1198
BY;2001-01-01;1144
BY;2002-01-01;1274
BY;2003-01-01;1380
BY;2004-01-01;1265
BY;2005-01-01;1462
BY;2006-01-01;1525
BY;2007-01-01;1662
BY;2008-01-01;1730
BY;2009-01-01;1926
BY;2010-01-01;1933
BY;2011-01-01;1871
BY;2012-01-01;1871
BY;2013-01-01;1634
BY;2014-01-01;757
BY;2015-01-01;691
BY;2016-01-01;521
BY;2017-01-01;524
BY;2018-01-01;547
BE;1980-01-01;5969
BE;1981-01-01;4724
BE;1982-01-01;3858
BE;1983-01-01;3066
BE;1984-01-01;2835
BE;1985-01-01;2247
BE;1986-01-01;2128
BE;1987-01-01;1437
BE;1988-01-01;1412
BE;1989-01-01;1344
BE;1990-01-01;1256
BE;1991-01-01;1199
BE;1992-01-01;1174
BE;1993-01-01;1488
BE;1994-01-01;1190
BE;1995-01-01;1087
BE;1996-01-01;1086
BE;1997-01-01;1061
BE;1998-01-01;939
BE;1999-01-01;840
BE;2000-01-01;820
BE;2001-01-01;835
BE;2002-01-01;748
BE;2003-01-01;707
BE;2004-01-01;636
BE;2005-01-01;622
BE;2006-01-01;651
BE;2007-01-01;617
BE;2008-01-01;708
BE;2009-01-01;817
BE;2010-01-01;760
BE;2011-01-01;763
BE;2012-01-01;882
BE;2013-01-01;876
BE;2014-01-01;1026
BE;2015-01-01;1097
BE;2016-01-01;1173
BE;2017-01-01;1217
BE;2018-01-01;1110
BZ;1980-01-01;-1
BZ;1981-01-01;-1
BZ;1982-01-01;-1
BZ;1983-01-01;-1
BZ;1984-01-01;-1
BZ;1985-01-01;-1
BZ;1986-01-01;-1
BZ;1987-01-01;-1
BZ;1988-01-01;6
BZ;1989-01-01;7
BZ;1990-01-01;-1
BZ;1991-01-01;-1
BZ;1992-01-01;-1
BZ;1993-01-01;-1
BZ;1994-01-01;-1
BZ;1995-01-01;-1
BZ;1996-01-01;-1
BZ;1997-01-01;-1
BZ;1998-01-01;-1
BZ;1999-01-01;-1
BZ;2000-01-01;-1
BZ;2001-01-01;-1
BZ;2002-01-01;-1
BZ;2003-01-01;-1
BZ;2004-01-01;16
BZ;2005-01-01;33
BZ;2006-01-01;42
BZ;2007-01-01;48
BZ;2008-01-01;54
BZ;2009-01-01;-1
BZ;2010-01-01;-1
BZ;2011-01-01;49
BZ;2012-01-01;51
BZ;2013-01-01;32
BZ;2014-01-01;36
BZ;2015-01-01;26
BZ;2016-01-01;37
BZ;2017-01-01;-1
BZ;2018-01-01;24
BT;1980-01-01;-1
BT;1981-01-01;-1
BT;1982-01-01;-1
BT;1983-01-01;-1
BT;1984-01-01;-1
BT;1985-01-01;-1
BT;1986-01-01;-1
BT;1987-01-01;-1
BT;1988-01-01;-1
BT;1989-01-01;-1
BT;1990-01-01;-1
BT;1991-01-01;-1
BT;1992-01-01;-1
BT;1993-01-01;-1
BT;1994-01-01;-1
BT;1995-01-01;-1
BT;1996-01-01;-1
BT;1997-01-01;-1
BT;1998-01-01;-1
BT;1999-01-01;-1
BT;2000-01-01;-1
BT;2001-01-01;-1
BT;2002-01-01;-1
BT;2003-01-01;-1
BT;2004-01-01;-1
BT;2005-01-01;-1
BT;2006-01-01;-1
BT;2007-01-01;-1
BT;2008-01-01;-1
BT;2009-01-01;-1
BT;2010-01-01;-1
BT;2011-01-01;-1
BT;2012-01-01;4
BT;2013-01-01;7
BT;2014-01-01;-1
BT;2015-01-01;8
BT;2016-01-01;5
BT;2017-01-01;3
BT;2018-01-01;-1
BO;1980-01-01;125
BO;1981-01-01;132
BO;1982-01-01;107
BO;1983-01-01;81
BO;1984-01-01;58
BO;1985-01-01;46
BO;1986-01-01;-1
BO;1987-01-01;-1
BO;1988-01-01;-1
BO;1989-01-01;-1
BO;1990-01-01;-1
BO;1991-01-01;-1
BO;1992-01-01;-1
BO;1993-01-01;88
BO;1994-01-01;117
BO;1995-01-01;123
BO;1996-01-01;-1
BO;1997-01-01;-1
BO;1998-01-01;-1
BO;1999-01-01;-1
BO;2000-01-01;-1
BO;2001-01-01;-1
BO;2002-01-01;-1
BO;2003-01-01;-1
BO;2004-01-01;-1
BO;2005-01-01;-1
BO;2006-01-01;-1
BO;2007-01-01;-1
BO;2008-01-01;-1
BO;2009-01-01;-1
BO;2010-01-01;-1
BO;2011-01-01;-1
BO;2012-01-01;-1
BO;2013-01-01;-1
BO;2014-01-01;303
BO;2015-01-01;-1
BO;2016-01-01;253
BO;2017-01-01;336
BO;2018-01-01;-1
BA;1980-01-01;-1
BA;1981-01-01;-1
BA;1982-01-01;-1
BA;1983-01-01;-1
BA;1984-01-01;-1
BA;1985-01-01;-1
BA;1986-01-01;-1
BA;1987-01-01;-1
BA;1988-01-01;-1
BA;1989-01-01;-1
BA;1990-01-01;-1
BA;1991-01-01;-1
BA;1992-01-01;-1
BA;1993-01-01;-1
BA;1994-01-01;-1
BA;1995-01-01;-1
BA;1996-01-01;-1
BA;1997-01-01;-1
BA;1998-01-01;-1
BA;1999-01-01;128
BA;2000-01-01;273
BA;2001-01-01;361
BA;2002-01-01;-1
BA;2003-01-01;274
BA;2004-01-01;396
BA;2005-01-01;372
BA;2006-01-01;217
BA;2007-01-01;-1
BA;2008-01-01;71
BA;2009-01-01;-1
BA;2010-01-01;65
BA;2011-01-01;55
BA;2012-01-01;16
BA;2013-01-01;29
BA;2014-01-01;43
BA;2015-01-01;-1
BA;2016-01-01;66
BA;2017-01-01;99
BA;2018-01-01;96
BW;1980-01-01;18
BW;1981-01-01;34
BW;1982-01-01;29
BW;1983-01-01;-1
BW;1984-01-01;-1
BW;1985-01-01;-1
BW;1986-01-01;-1
BW;1987-01-01;-1
BW;1988-01-01;-1
BW;1989-01-01;-1
BW;1990-01-01;-1
BW;1991-01-01;-1
BW;1992-01-01;-1
BW;1993-01-01;-1
BW;1994-01-01;-1
BW;1995-01-01;-1
BW;1996-01-01;-1
BW;1997-01-01;-1
BW;1998-01-01;-1
BW;1999-01-01;-1
BW;2000-01-01;-1
BW;2001-01-01;-1
BW;2002-01-01;-1
BW;2003-01-01;-1
BW;2004-01-01;-1
BW;2005-01-01;-1
BW;2006-01-01;-1
BW;2007-01-01;-1
BW;2008-01-01;-1
BW;2009-01-01;-1
BW;2010-01-01;-1
BW;2011-01-01;9
BW;2012-01-01;14
BW;2013-01-01;9
BW;2014-01-01;9
BW;2015-01-01;8
BW;2016-01-01;7
BW;2017-01-01;7
BW;2018-01-01;3
BR;1980-01-01;8377
BR;1981-01-01;8284
BR;1982-01-01;7678
BR;1983-01-01;7202
BR;1984-01-01;6719
BR;1985-01-01;6519
BR;1986-01-01;6268
BR;1987-01-01;7153
BR;1988-01-01;6884
BR;1989-01-01;6980
BR;1990-01-01;7537
BR;1991-01-01;6944
BR;1992-01-01;6474
BR;1993-01-01;6650
BR;1994-01-01;6497
BR;1995-01-01;7448
BR;1996-01-01;8057
BR;1997-01-01;16235
BR;1998-01-01;16037
BR;1999-01-01;17509
BR;2000-01-01;17283
BR;2001-01-01;17849
BR;2002-01-01;16685
BR;2003-01-01;16411
BR;2004-01-01;16713
BR;2005-01-01;18498
BR;2006-01-01;19842
BR;2007-01-01;21663
BR;2008-01-01;23170
BR;2009-01-01;22406
BR;2010-01-01;24999
BR;2011-01-01;28649
BR;2012-01-01;30435
BR;2013-01-01;30884
BR;2014-01-01;30342
BR;2015-01-01;30219
BR;2016-01-01;28010
BR;2017-01-01;25658
BR;2018-01-01;24857
BN;1980-01-01;-1
BN;1981-01-01;-1
BN;1982-01-01;-1
BN;1983-01-01;-1
BN;1984-01-01;-1
BN;1985-01-01;-1
BN;1986-01-01;-1
BN;1987-01-01;-1
BN;1988-01-01;-1
BN;1989-01-01;-1
BN;1990-01-01;-1
BN;1991-01-01;-1
BN;1992-01-01;-1
BN;1993-01-01;88
BN;1994-01-01;41
BN;1995-01-01;42
BN;1996-01-01;21
BN;1997-01-01;42
BN;1998-01-01;32
